#ID	z	log_Ms	log_Ms_err_m	log_Ms_err_p	log_MBH
CDFS-1	1.63	10.2864	-0.15	0.19	7.8378
cid_543	1.301	10.4345	-0.15	0.19	8.1868
cid_70	1.667	10.5518	-0.14	0.16	8.2689
SXDS-X735	1.447	10.7849	-0.14	0.17	8.4403
CDFS-229	1.326	10.6283	-0.11	0.12	8.1997
CDFS-321	1.57	11.1009	-0.2	0.3	8.457
cid_1174	1.552	10.6314	-0.15	0.18	7.9915
cid_216	1.567	10.6296	-0.1	0.1	7.8539
cid_237	1.618	10.7542	-0.13	0.14	8.2891
cid_3242	1.532	10.747	-0.15	0.17	8.4494
cid_3570	1.244	10.7134	-0.1	0.1	7.8876
cid_452	1.407	10.8578	-0.1	0.1	8.2953
cid_454	1.478	10.6966	-0.1	0.1	8.3114
cid_50	1.239	10.801	-0.21	0.36	8.4229
cid_607	1.294	10.7502	-0.18	0.25	8.5263
LID1273	1.617	10.8897	-0.12	0.13	8.5606
LID1538	1.527	10.7078	-0.12	0.13	8.4694
LID360	1.579	10.6594	-0.11	0.11	8.4497
SXDS-X1136	1.325	10.4861	-0.13	0.14	8.3326
SXDS-X50	1.411	10.5363	-0.13	0.15	7.9417
SXDS-X717	1.276	10.5055	-0.12	0.12	8.2039
SXDS-X763	1.412	9.6791	-0.24	0.48	8.4646
SXDS-X969	1.585	10.6088	-0.17	0.23	8.1956
XID2138	1.551	10.4758	-0.12	0.12	8.5519
XID2202	1.516	10.7369	-0.14	0.16	8.4632
XID2396	1.6	10.6927	-0.19	0.28	8.455
cid_206	1.483	10.4496	-0.25	0.53	8.5278
ECDFS-358	1.626	10.7348	-0.14	0.16	8.1218
CDFS-724	1.337	9.7876	-0.18	0.25	8.0246
cid_597	1.272	10.4582	-0.18	0.24	7.8128
cid_1281	1.445	9.9995	-0.15	0.18	7.7488
cid_255	1.664	10.6496	-0.15	0.18	8.2727
