#CID	XID	z	RA	Dec	log_Lbol	log_MBH	log_MBH_err	spec	log_Ms	log_Ms_err
CID-499	XID-9	1.459	149.91975	2.327461	46.12029357	8.962017	0.06284061	Hb (FMOS-COSMOS)	11.29362699	0.113108843
CID-361	XID-11	1.18	150.14558	2.043068	45.42154749	8.645929	0.09069492	Ha (FMOS-COSMOS)	10.97689693	0.151396115
CID-50	XID-12	1.239	150.20796	2.083337	45.99839038	8.148791	0.07995515	Hb (FMOS-COSMOS)	nan	nan
CID-208	XID-17	1.236	149.85194	1.998449	46.08068269	9.484326	0.05131437	Hb (FMOS-COSMOS)	nan	nan
CID-330	XID-30	1.753	149.95583	2.028063	46.09981948	8.21	0.31	MgII (zCOSMOS-bright)	10.68614439	0.106393962
CID-510	XID-37	1.123	149.91692	2.38521	45.37284436	8.725414	0.1186857	Ha (FMOS-COSMOS)	11.31040665	0.102263365
CID-1044	XID-38	1.559	150.24516	1.90008	45.92300703	8.960663	0.05439719	Hb (FMOS-COSMOS)	11.31709769	0.10522254
CID-54	XID-40	0.971	150.31194	2.035749	45.36945682	9.647143	0.05295767	Ha (FMOS-COSMOS)	11.40267942	0.253771924
CID-468	XID-41	0.962	150.10555	2.126361	45.37885613	8.09	0.32	MgII (zCOSMOS-deep)	10.33124874	0.184568596
CID-252	XID-52	1.134	150.06786	1.85132	45.43734216	8.36	0.37	MgII (zCOSMOS-bright)	11.02413808	0.225262085
CID-452	XID-56	1.407	150.00446	2.237097	45.49341706	8.186938	0.343418	Hb (FMOS-COSMOS)	10.82064252	0.125216834
CID-363	XID-59	1.92	150.19557	2.004439	45.71700752	9.24	0.31	MgII (zCOSMOS-bright)	11.17396583	0.14896092
CID-1129	XID-69	1.323	149.89484	2.174485	45.22279416	9.388153	0.04210813	Ha (FMOS-COSMOS)	10.85809528	0.218536604
CID-259	XID-75	1.679	150.13173	1.799421	45.83517969	9.162214	0.1528266	Ha (FMOS-COSMOS)	10.65989594	0.075338554
CID-255	XID-87	1.664	150.10164	1.848359	45.37284436	8.734179	0.145783	Hb (FMOS-COSMOS)	11.06007671	0.13974731
CID-445	XID-95	1.258	150.02856	2.209919	45.26620583	8.531584	0.1970721	Ha (FMOS-COSMOS)	10.83824626	0.097001255
CID-342	XID-113	1.91	149.89792	2.093916	45.73223533	8.3	0.31	MgII (zCOSMOS-bright)	10.14530887	0.128512277
CID-403	XID-118	1.734	149.8954	2.239495	45.07952013	8.480014	0.1486627	Hb (FMOS-COSMOS)	11.12256511	0.098941729
CID-47	XID-128	2.161	150.19897	2.132537	45.42555815	8.913354	0.05087267	Hb (FMOS-COSMOS)	11.07774263	0.142466666
CID-369	XID-129	1.17	150.2534	1.996635	45.09265732	8.359912	0.3453261	Ha (FMOS-COSMOS)	10.8151124	0.235142135
CID-239	XID-137	1.806	149.9577	2.003091	45.45900985	9.17	0.31	MgII (zCOSMOS-bright)	10.56962894	0.136694655
CID-36	XID-160	1.825	150.15839	2.139603	45.47108774	8.24	0.39	MgII (zCOSMOS-bright)	11.70166323	0.103666304
CID-206	XID-196	1.483	149.83704	2.008855	45.2628591	8.528813	0.07280847	Ha (FMOS-COSMOS)	10.72504999	0.180651191
CID-282	XID-216	2.024	150.24307	1.869098	45.5727337	8.57	0.39	MgII (zCOSMOS-bright)	10.70079425	0.15191262
CID-210	XID-219	1.248	149.86557	2.00308	45.18634225	8.05	0.37	MgII (zCOSMOS-bright)	11.02505835	0.200831299
CID-463	XID-249	1.325	150.09586	2.145157	45.16302007	8.687367	0.1447234	Ha (FMOS-COSMOS)	10.87682515	0.14385176
CID-273	XID-256	1.851	150.19504	1.793774	45.21496051	8.59	0.32	MgII (zCOSMOS-bright)	11.14400886	0.155366298
CID-307	XID-285	2.046	149.8227	2.089659	45.76089156	8.93	0.39	MgII (zCOSMOS-bright)	11.0232137	0.137951829
CID-211	XID-329	1.166	149.86855	1.99301	44.65111807	7.89	0.45	MgII (zCOSMOS-bright)	10.54666497	0.175925285
CID-203	XID-341	1.36	149.8142	2.01635	45.40918393	8.34	0.48	MgII (zCOSMOS-bright)	10.10169174	0.194895297
CID-1028	XID-383	1.444	150.16177	1.877938	45.3154356	7.489108	0.07897739	Ha (FMOS-COSMOS)	10.36045874	0.148589682
CID-59	XID-391	1.78	150.32828	2.124965	45.24527918	8.89	0.31	MgII (zCOSMOS-bright)	10.95339047	0.159587301
CID-62	XID-2244	1.916	150.37364	2.112033	45.91722889	9.12	0.31	MgII (zCOSMOS-bright)	11.02977901	0.094488152
CID-509	XID-5125	1.023	149.88332	2.346771	44.78917641	9.599119	0.2360026	Ha (FMOS-COSMOS)	10.76531621	0.252675503
CID-157	XID-5404	1.334	149.67513	1.982757	45.21280521	8.733766	0.08056022	Ha (FMOS-COSMOS)	10.74197461	0.132080164
CID-389	XID-5531	1.53	150.38673	1.966682	45.01408768	8.940084	0.06964144	Ha (FMOS-COSMOS)	10.6514676	0.113106617
CID-1489	XID-54330	1.954	149.75362	2.125629	nan	7.86	0.39	MgII (zCOSMOS-bright)	10.5908775	0.122726053
CID-920	-	1.4199	150.2617	2.116652	44.46515154	8.84	0.31	MgII (zCOSMOS-bright)	10.26401207	0.146442837
